SupplierID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,HomePage
1,小米智能家居,王海燕,市场总监,内蒙古自治区杭州县蓟州李街h座 964112,旭县,河南省,750189,中国,18190108226,18946487765,http://www.小米智能家居.com
2,华为智能生活,高涛,业务经理,内蒙古自治区琳市西夏梁路E座 732151,上海县,江西省,530440,中国,18764098799,13992596803,http://www.华为智能生活.com
3,苹果智能家庭,龙建国,市场总监,重庆市桂芝县怀柔嘉禾街T座 546266,兰英市,福建省,731108,中国,14747663987,15354155347,http://www.苹果智能家庭.com
4,亚马逊智能科技,彭淑兰,销售代表,青海省霞县新城李街n座 405342,大冶市,浙江省,679640,中国,18163488862,13195092340,http://www.亚马逊智能科技.com
5,谷歌智能设备,陈旭,销售经理,河南省广州市涪城萧街Z座 655179,淮安县,新疆维吾尔自治区,973589,中国,13795307463,13890951909,http://www.谷歌智能设备.com
6,三星智能家电,曹帆,CTO,江苏省岩市房山彭街i座 735306,淑华县,贵州省,146498,中国,15705890293,14543579648,http://www.三星智能家电.com
7,飞利浦智能照明,杨云,销售经理,贵州省莹县上街廖路L座 900567,梅市,天津市,846834,中国,13066948271,13837101698,http://www.飞利浦智能照明.com
8,海尔智慧家庭,魏桂荣,销售代表,湖南省勇市南湖兴城路A座 201143,健市,西藏自治区,458750,中国,13856168832,14529672735,http://www.海尔智慧家庭.com
9,美的智能科技,杨丽丽,销售代表,江西省成都市江北徐街X座 489387,成都市,上海市,919975,中国,14551737807,18955899181,http://www.美的智能科技.com
10,格力智能电器,刘琴,CEO,上海市颖县孝南合肥路X座 194256,潜江市,江苏省,333530,中国,18223332953,13684420706,http://www.格力智能电器.com
11,博世智能系统,钱娟,市场总监,台湾省武汉市崇文太原街u座 358251,马鞍山市,青海省,952902,中国,13859569404,13606832726,http://www.博世智能系统.com
12,西门子智能家居,丁淑华,销售经理,河北省春梅市房山汕尾街M座 523352,长沙市,重庆市,828609,中国,15029262171,15610157779,http://www.西门子智能家居.com
13,松下智能电器,罗雷,销售代表,湖南省秀华市清浦沈阳路T座 230758,潜江县,重庆市,373901,中国,14556029325,18147325845,http://www.松下智能电器.com
14,索尼智能科技,唐桂芳,销售经理,重庆市燕县平山西安街b座 472461,关岭县,北京市,261704,中国,15672350716,15936065850,http://www.索尼智能科技.com
15,LG智能家电,李璐,销售经理,浙江省婷婷县高港高路o座 525951,呼和浩特市,台湾省,611904,中国,13974031466,13970395410,http://www.lg智能家电.com
